run,host,dev,tx_bytes,rx_bytes
p1_l70_pp4_dual_decode_in128_out1024_c32,edgexpert-8277,roceP2p1s0f0,1111576932,1111576684
p1_l70_pp4_dual_decode_in128_out1024_c32,edgexpert-8277,rocep1s0f0,1339491216,1340736460
p1_l70_pp4_dual_decode_in128_out1024_c32,edgexpert-82e3,roceP2p1s0f0,6234120,1105374400
p1_l70_pp4_dual_decode_in128_out1024_c32,edgexpert-82e3,rocep1s0f0,25424412,1325848896
p1_l70_pp4_dual_decode_in128_out1024_c8,edgexpert-7afa,roceP2p1s0f0,6990948,85364
p1_l70_pp4_dual_decode_in128_out1024_c8,edgexpert-7afa,rocep1s0f0,1411936820,49040892
p1_l70_pp4_dual_decode_in128_out1024_c8,edgexpert-7d4c,roceP2p1s0f0,7070592,7070528
p1_l70_pp4_dual_decode_in128_out1024_c8,edgexpert-7d4c,rocep1s0f0,1433237408,1433237220
p1_l70_pp4_dual_decode_in128_out1024_c8,edgexpert-8277,roceP2p1s0f0,7071308,7071308
p1_l70_pp4_dual_decode_in128_out1024_c8,edgexpert-8277,rocep1s0f0,1420780976,1420486004
p1_l70_pp4_dual_decode_in128_out1024_c8,edgexpert-82e3,roceP2p1s0f0,86080,6991728
p1_l70_pp4_dual_decode_in128_out1024_c8,edgexpert-82e3,rocep1s0f0,36289488,1399480580
p1_l70_pp4_dual_prefill_in4096_out32_c1,edgexpert-7afa,roceP2p1s0f0,48762172,249788
p1_l70_pp4_dual_prefill_in4096_out32_c1,edgexpert-7afa,rocep1s0f0,62326908,1540140
p1_l70_pp4_dual_prefill_in4096_out32_c1,edgexpert-7d4c,roceP2p1s0f0,48907320,48907440
p1_l70_pp4_dual_prefill_in4096_out32_c1,edgexpert-7d4c,rocep1s0f0,63063684,63063500
p1_l70_pp4_dual_prefill_in4096_out32_c1,edgexpert-8277,roceP2p1s0f0,48799472,48799348
p1_l70_pp4_dual_prefill_in4096_out32_c1,edgexpert-8277,rocep1s0f0,62722884,62689216
p1_l70_pp4_dual_prefill_in4096_out32_c1,edgexpert-82e3,roceP2p1s0f0,141824,48654204
p1_l70_pp4_dual_prefill_in4096_out32_c1,edgexpert-82e3,rocep1s0f0,1165668,61986292
p1_l70_pp4_dual_prefill_in4096_out32_c8,edgexpert-7afa,roceP2p1s0f0,6411328,36512
p1_l70_pp4_dual_prefill_in4096_out32_c8,edgexpert-7afa,rocep1s0f0,49027216,1561712
