run,collective,nodes,mode,rep,transport,size,time_us,algbw,busbw
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,262144,142.12,1.84,1.84
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,524288,473.36,1.11,1.11
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,1048576,1012.72,1.04,1.04
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,2097152,658.32,3.19,3.19
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,4194304,698.07,6.01,6.01
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,8388608,754.42,11.12,11.12
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,16777216,975.5,17.2,17.2
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,33554432,1598.56,20.99,20.99
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,67108864,3252.62,20.63,20.63
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,134217728,6873.49,19.53,19.53
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,268435456,12850.2,20.89,20.89
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,536870912,23604.7,22.74,22.74
nccl_all_reduce_perf_np2_dual_rep3,all_reduce,2,dual,3,IB,1073741824,45452.1,23.62,23.62
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,1024,28.42,0.04,0.04
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,2048,37.49,0.05,0.05
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,4096,28.81,0.14,0.14
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,8192,30.1,0.27,0.27
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,16384,34.41,0.48,0.48
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,32768,40.53,0.81,0.81
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,65536,68.43,0.96,0.96
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,131072,64.41,2.04,2.04
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,262144,151.19,1.73,1.73
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,524288,501.42,1.05,1.05
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,1048576,1041.25,1.01,1.01
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,2097152,710.63,2.95,2.95
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,4194304,729.12,5.75,5.75
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,8388608,889.36,9.43,9.43
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,16777216,1426.24,11.76,11.76
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,33554432,2735.88,12.26,12.26
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,67108864,5674.69,11.83,11.83
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,134217728,11801.1,11.37,11.37
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,268435456,21526.0,12.47,12.47
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,536870912,39357.1,13.64,13.64
nccl_all_reduce_perf_np2_single_rep1,all_reduce,2,single,1,IB,1073741824,77746.3,13.81,13.81
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,1024,124.27,0.01,0.01
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,2048,30.54,0.07,0.07
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,4096,31.88,0.13,0.13
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,8192,39.7,0.21,0.21
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,16384,35.89,0.46,0.46
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,32768,44.23,0.74,0.74
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,65536,79.25,0.83,0.83
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,131072,80.04,1.64,1.64
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,262144,146.94,1.78,1.78
